L 08/01/2020 - 02:54:21: SourceMod log file session started (file "/home/tcagame/jackm1/488/csgo/addons/sourcemod/logs/L20200801.log") (Version "1.10.0.6490")
L 08/01/2020 - 02:54:21: -------- Mapchange to de_overpass --------
L 08/01/2020 - 11:53:41: -------- Mapchange to de_overpass --------
L 08/01/2020 - 12:21:47: -------- Mapchange to de_overpass --------
L 08/01/2020 - 14:15:13: -------- Mapchange to de_overpass --------
L 08/01/2020 - 14:21:19: [basecommands.smx] "leo dooly<30><STEAM_1:0:549055462><>" changed map to "inferno"
L 08/01/2020 - 14:21:22: [SM] Changed map to "inferno"
L 08/01/2020 - 14:21:23: -------- Mapchange to de_inferno --------
L 08/01/2020 - 15:03:23: -------- Mapchange to de_dust2 --------
L 08/01/2020 - 15:36:07: -------- Mapchange to de_overpass --------
L 08/01/2020 - 18:24:27: -------- Mapchange to de_overpass --------
L 08/01/2020 - 18:41:14: -------- Mapchange to cs_office --------
L 08/01/2020 - 18:50:54: [basecommands.smx] "dylan<47><STEAM_1:0:152419574><>" console command (cmdline "mp_damage_scale_ct_body .5")
L 08/01/2020 - 19:01:03: [basecommands.smx] "dylan<47><STEAM_1:0:152419574><>" console command (cmdline "mp_damage_scale_ct_body 1")
L 08/01/2020 - 19:21:23: -------- Mapchange to de_inferno --------
L 08/01/2020 - 19:23:24: [funcommands.smx] "dylan<47><STEAM_1:0:152419574><>" toggled noclip on "dylan<47><STEAM_1:0:152419574><>"
L 08/01/2020 - 19:24:58: [funcommands.smx] "dylan<47><STEAM_1:0:152419574><>" toggled noclip on "dylan<47><STEAM_1:0:152419574><>"
L 08/01/2020 - 19:25:52: [funcommands.smx] "dylan<47><STEAM_1:0:152419574><>" toggled noclip on "dylan<47><STEAM_1:0:152419574><>"
L 08/01/2020 - 19:27:10: [funcommands.smx] "dylan<47><STEAM_1:0:152419574><>" toggled noclip on "dylan<47><STEAM_1:0:152419574><>"
L 08/01/2020 - 19:27:51: [funcommands.smx] "dylan<47><STEAM_1:0:152419574><>" toggled noclip on "dylan<47><STEAM_1:0:152419574><>"
L 08/01/2020 - 19:30:46: [funcommands.smx] "dylan<47><STEAM_1:0:152419574><>" toggled noclip on "dylan<47><STEAM_1:0:152419574><>"
L 08/01/2020 - 19:33:13: [funcommands.smx] "dylan<47><STEAM_1:0:152419574><>" toggled noclip on "dylan<47><STEAM_1:0:152419574><>"
L 08/01/2020 - 19:33:57: [funcommands.smx] "dylan<47><STEAM_1:0:152419574><>" toggled noclip on "dylan<47><STEAM_1:0:152419574><>"
L 08/01/2020 - 19:40:24: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:24: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:24: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:24: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:24: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:27: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:27: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:27: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:27: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:27: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:29: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:31: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:32: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:32: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:32: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:32: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:32: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:33: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:33: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:33: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:33: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:33: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:34: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:34: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
