L 03/14/2021 - 11:06:12: SourceMod log file session started (file "/home/steam/p_hvh/csgo/addons/sourcemod/logs/L20210314.log") (Version "1.10.0.6502")
L 03/14/2021 - 11:06:12: [GEOIP] GeoIP database info: GEO-106FREE 20180327 Build 1 Copyright (c) 2018 MaxMind Inc All Rights Reserved
L 03/14/2021 - 11:06:12: [firebulletsfix.smx] Found offset for Weapon_ShootPosition 290
L 03/14/2021 - 11:06:12: [simple-chatprocessor.smx] [SCP] Recognized mod [Counter-Strike: GO].
L 03/14/2021 - 11:06:12: [simple-chatprocessor.smx] [SCP] Loading translation file [scp.csgo.phrases].
L 03/14/2021 - 11:06:12: [afk_manager4.smx] [AFK Manager] Log File: addons/sourcemod/logs/afkm_20210314.log
L 03/14/2021 - 11:06:12: [afk_manager4.smx] [AFK Manager] Detected Mod Counter-Strike: Global Offensive
L 03/14/2021 - 11:08:23: -------- Mapchange to de_mirage --------
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_vote_issue_changelevel_allowed") (value "0")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_max_distance_transmit_footsteps") (value "9999")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_hibernate_ms") (value "0")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_hibernate_ms_vgui") (value "0")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_hibernate_postgame_delay") (value "0")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_hibernate_when_empty") (value "0")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_parallel_sendsnapshot") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_enable_delta_packing") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "0.200")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_maxcleartime") (value "0.001")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_minroutable") (value "1000")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_compresspackets") (value "0")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "g_ragdoll_important_maxcount") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "g_ragdoll_maxcount") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "phys_enable_experimental_optimizations") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "prop_active_gib_limit") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "prop_active_gib_max_fade_time") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_turbophysics") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "host_framerate") (value "0")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_alternateticks") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
L 03/14/2021 - 11:08:23: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_stats") (value "0")
