L 12/28/2021 - 04:29:55: SourceMod log file session started (file "/home/steam/nospread/csgo/addons/sourcemod/logs/L20211228.log") (Version "1.10.0.6502")
L 12/28/2021 - 04:29:55: Log file closed.
L 12/28/2021 - 04:30:12: SourceMod log file session started (file "/home/steam/nospread/csgo/addons/sourcemod/logs/L20211228.log") (Version "1.10.0.6502")
L 12/28/2021 - 04:30:12: [GEOIP] GeoIP database info: GEO-106FREE 20180327 Build 1 Copyright (c) 2018 MaxMind Inc All Rights Reserved
L 12/28/2021 - 04:30:12: [simple-chatprocessor.smx] [SCP] Recognized mod [Counter-Strike: GO].
L 12/28/2021 - 04:30:12: [simple-chatprocessor.smx] [SCP] Loading translation file [scp.csgo.phrases].
L 12/28/2021 - 04:30:12: [auto_steam_update.smx] HUD text is supported on this mod. The persistant timer will display.
L 12/28/2021 - 04:30:12: [afk_manager4.smx] [AFK Manager] Log File: addons/sourcemod/logs/afkm_20211228.log
L 12/28/2021 - 04:30:12: [afk_manager4.smx] [AFK Manager] Detected Mod Counter-Strike: Global Offensive
L 12/28/2021 - 04:41:07: -------- Mapchange to aim_ag_doubled_noble --------
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_vote_issue_changelevel_allowed") (value "0")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "g_ragdoll_important_maxcount") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "g_ragdoll_maxcount") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "phys_enable_experimental_optimizations") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "prop_active_gib_limit") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "prop_active_gib_max_fade_time") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_turbophysics") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_parallel_sendsnapshot") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_enable_delta_packing") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxunlag") (value "0.2")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_maxcleartime") (value "0.001")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_minroutable") (value "1000")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_compresspackets") (value "0")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "host_framerate") (value "0")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "pvs_min_player_distance") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_alternateticks") (value "1")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_force_transmit_ents") (value "0")
L 12/28/2021 - 04:41:07: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_forcepreload") (value "1")
